genre,name,rating_value
,,
,,
,,
,,
,,
,,
,,
,,
,,
Adventure,Roblox,4.4
Arcade,Subway Surfers,4.3
Casual,Candy Crush Saga,4.3
Educational,Toca Life World: Build stories,4.0
Strategy,Clash of Clans,4.3
Strategy,Clash Mini,3.5
Casual,Plants vs Zombies™ 2,3.8
Arcade,Cookie Run: OvenBreak,4.5
Strategy,World of Tanks Blitz -PVP MMO,3.8
Casual,Angry Birds 2,4.2
Arcade,Minecraft,4.4
Action,Crossy Road,4.4
Arcade,Cookie Run: OvenBreak,4.5
Racing,Hill Climb Racing 2,4.3
Casual,My Talking Angela 2,4.5
Puzzle,Block Puzzle,4.4
Strategy,Clash of Clans,4.3
Strategy,World of Tanks Blitz -PVP MMO,3.8
Casual,Candy Crush Saga,4.3
Card,Solitaire - Classic Card Games,4.3
Strategy,Island War,4.5
Action,Tanks a Lot - 3v3 Battle Arena,4.0
Casual,Candy Crush Friends Saga,4.4
Puzzle,Bubble Pop Origin! Puzzle Game,4.3
Simulation,Blade Idle,4.1
Casual,Candy Crush Soda Saga,4.4
Simulation,Cats & Soup - Cute idle Game,4.8
Action,PUBG MOBILE,3.9
Action,Super Mario Run,3.8
Casual,Homescapes,4.2
Simulation,Fallout Shelter,4.4
Role Playing,Cookie Run: Kingdom,4.5
Strategy,Clash of Clans,4.3
Casual,Candy Crush Friends Saga,4.4
Casual,Candy Crush Soda Saga,4.4
Action,Super Mario Run,3.8
Casual,Homescapes,4.2
Casual,Gardenscapes,4.3
Educational,ABC Kids - Tracing & Phonics,4.6
Action,Talking Tom Gold Run,4.2
Strategy,Clash Royale,3.6
Adventure,Sonic Forces - Running Battle,4.1
Puzzle,Fishdom,4.4
Strategy,Stick War: Legacy,4.6
Educational,Toca Life World: Build stories,4.0
Adventure,Pokémon GO,3.9
Casual,Plants vs Zombies™ 2,3.8
Casual,Pou,4.3
Strategy,World of Tanks Blitz -PVP MMO,3.8
Action,PUBG MOBILE,3.9
Role Playing,Star Wars™: Galaxy of Heroes,4.1
Role Playing,MARVEL Future Fight,4.1
Action,Pixel Gun 3D - Battle Royale,3.7
Action,Crossy Road,4.4
Puzzle,Tetris®,3.8
Action,Mech Arena,4.0
Simulation,Epic Fantasy,4.1
Arcade,Minecraft,4.4
Strategy,Random Dice: Defense,3.8
Action,War Robots Multiplayer Battles,3.9
Strategy,Bloons TD Battles 2,3.9
Action,NEW STATE Mobile,3.7
Action,Call of Duty®: Mobile - Garena,3.9
Strategy,Clash Royale,3.6
Action,Among Us,3.9
Action,"Blocky Cars tank games, online",4.1
Strategy,State of Survival: Zombie War,4.3
Action,Tanks a Lot - 3v3 Battle Arena,4.0
Simulation,Cats & Soup - Cute idle Game,4.8
Simulation,Fallout Shelter,4.4
Role Playing,Cookie Run: Kingdom,4.5
Role Playing,Star Wars™: Galaxy of Heroes,4.1
Arcade,Space shooter - Galaxy attack,4.7
Arcade,Mega Tower - Casual TD Game,4.3
Role Playing,MARVEL Future Fight,4.1
Arcade,Jackal Squad - Arcade Shooting,4.7
Simulation,Dragon Farm Adventure-Fun Game,4.4
Simulation,Idle Miner Tycoon: Gold Games,4.5
Adventure,Dragon Mania Legends,4.3
Action,Shadow of Death 2: RPG Games,0.0
Role Playing,Ace Defender: Dragon War,2.8
Simulation,Epic Fantasy,4.1
Simulation,Jurassic World™: The Game,4.0
Action,War Robots Multiplayer Battles,3.9
Puzzle,Bubble Pop Origin! Puzzle Game,4.3
Arcade,Space shooter - Galaxy attack,4.7
Arcade,Jackal Squad - Arcade Shooting,4.7
Puzzle,Sudoku - Classic Sudoku Puzzle,4.4
Educational,ABC Kids - Tracing & Phonics,4.6
Simulation,Idle Miner Tycoon: Gold Games,4.5
Action,Crossy Road,4.4
Arcade,Geometry Dash,4.4
Action,Shadow of Death 2: RPG Games,0.0
Arcade,Minecraft,4.4
Puzzle,Lily’s Garden,4.8
Action,Talking Tom Gold Run,4.2
Puzzle,Candy Crush Jelly Saga,4.3
Strategy,Bloons TD 6,4.7
Arcade,Geometry Dash SubZero,4.3
Puzzle,Merge Dragons!,4.3
Action,Archero,3.9
Casual,Homescapes,4.2
Racing,Need for Speed™ No Limits,4.0
Role Playing,MARVEL Future Fight,4.1
Action,Pixel Gun 3D - Battle Royale,3.7
